AÑO;MES;PAIS_ORIGEN;CCAA;PROVINCIA;INIDICE_PERCEPCION_TURISTICA_GLOBAL;INDICE_SATISFACCION_PRODUCTOS_TURISTICOS;INDICE_PERCEPCION_SEGURIDAD;INDICE_PERCEPCION_CLIMATICA
2019;1;Alemania;Andalucía;Cádiz;77.86;72.84;90.13;55.88
2019;1;Alemania;Andalucía;Málaga;86.9;79.47;96.47;76.46
2019;1;Alemania;Andalucía;Sevilla;88.7;77.11;95.74;87.37
2019;1;Alemania;Canarias;Las Palmas;84.62;80.84;96.87;65.24
2019;1;Alemania;Canarias;Santa Cruz de Tenerife;84.4;78.14;94.49;70.43
2019;1;Alemania;Cataluña;Barcelona;90.68;78.36;97.68;91.47
2019;1;Alemania;Comunidad de Madrid;Madrid;87.56;74.62;93.9;88.01
2019;1;Alemania;Comunitat Valenciana;Valencia/València;86.37;71.42;95.9;84.79
2019;1;Alemania;Illes Balears;Illes Balears;87.36;75.11;98.32;81.31
2019;1;Alemania;País Vasco;Gipuzkoa;79.77;66.37;84.46;78.07
2019;1;Dinamarca;Andalucía;Málaga;84;82.27;77.92;83.77
2019;1;España;Andalucía;Almería;80.65;54.58;91.01;95.68
2019;1;España;Andalucía;Cádiz;83.08;64.87;93.4;92.37
2019;1;España;Andalucía;Córdoba;76.72;59.11;89.21;77.81
2019;1;España;Andalucía;Granada;87.58;69.11;96.16;92.01
2019;1;España;Andalucía;Huelva;82.18;65.63;90.57;98.46
2019;1;España;Andalucía;Jaén;80.9;66.6;87.74;97.88
2019;1;España;Andalucía;Málaga;86.38;71.07;93.61;87.89
2019;1;España;Andalucía;Sevilla;86.36;69.68;89.32;94.63
2019;1;España;Aragón;Huesca;76.93;70.11;90.96;65.72
2019;1;España;Aragón;Zaragoza;81.63;71.23;87.66;85.47
2019;1;España;Canarias;Las Palmas;86.94;71.63;95.68;87
2019;1;España;Canarias;Santa Cruz de Tenerife;82.28;63.87;94;79.68
2019;1;España;Cantabria;Cantabria;68.63;66.37;83.19;50
2019;1;España;Cataluña;Barcelona;82.76;68.59;81.51;90.93
2019;1;España;Cataluña;Girona;84.95;68;89.52;90.76
2019;1;España;Cataluña;Lleida;73.22;48.35;82.68;87.67
2019;1;España;Cataluña;Tarragona;82.03;64.87;92.05;83.32
2019;1;España;Comunidad Foral de Navarra;Navarra;86.35;72.85;93.2;94.25
2019;1;España;Comunidad de Madrid;Madrid;85.57;68.91;93.28;93.55
2019;1;España;Comunitat Valenciana;Alicante/Alacant;77.9;49.16;91.83;82.43
2019;1;España;Comunitat Valenciana;Castellón/Castelló;76.57;55.28;85.47;77.37
2019;1;España;Comunitat Valenciana;Valencia/València;81.54;63.48;87.52;91.8
2019;1;España;Extremadura;Cáceres;75.32;47.23;93.54;93.77
2019;1;España;Galicia;A Coruña;79.94;57.12;94.36;88.5
2019;1;España;Galicia;Ourense;77.43;69.86;92.44;54.95
2019;1;España;Galicia;Pontevedra;80.41;67.12;87.38;77.47
2019;1;España;Illes Balears;Illes Balears;83.35;67.83;94.26;78.89
2019;1;España;La Rioja;La Rioja;88.28;75.21;93.63;90.51
2019;1;España;País Vasco;Araba/Álava;79.74;68.26;84.46;88.43
2019;1;España;País Vasco;Bizkaia;78.46;59.24;90.08;86.1
2019;1;España;País Vasco;Gipuzkoa;79.2;66.42;92.8;65.73
2019;1;España;Principado de Asturias;Asturias;72.53;53.6;93.35;66.85
2019;1;España;Región de Murcia;Murcia;83.41;62.44;93.99;91.74
